"Anio_hecho","mes_hecho","Nombre_Municipio","Nombre_Departamento","Total_Victimas","Riesgo"
"1966","8","BOLIVAR - CAUCA","CAUCA",1,"0"
"1966","9","VALENCIA - CORDOBA","CORDOBA",1,"0"
"1966","10","ORTEGA - TOLIMA","TOLIMA",1,"0"
"1966","11","SAN FRANCISCO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1967","12","NECOCLI - ANTIOQUIA","ANTIOQUIA",1,"0"
"1968","0","CHAPARRAL - TOLIMA","TOLIMA",1,"0"
"1968","3","UMBITA - BOYACA","BOYACA",1,"0"
"1968","11","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1968","12","BELALCAZAR - CALDAS","CALDAS",8,"1"
"1969","3","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",3,"1"
"1970","1","ACACIAS - META","META",1,"0"
"1970","1","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1970","1","JARDIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1970","1","MUTATA - ANTIOQUIA","ANTIOQUIA",4,"1"
"1970","4","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",3,"1"
"1970","4","RETIRO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1970","5","POPAYAN - CAUCA","CAUCA",1,"0"
"1970","6","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1970","7","COYAIMA - TOLIMA","TOLIMA",1,"0"
"1970","10","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1971","1","ORITO - PUTUMAYO","PUTUMAYO",1,"0"
"1971","10","PRADO - TOLIMA","TOLIMA",1,"0"
"1972","1","PUERTO LOPEZ - META","META",1,"0"
"1972","1","VIOTA - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1972","2","EL DOVIO - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1972","3","NEIVA - HUILA","HUILA",1,"0"
"1973","1","APARTADO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1973","1","BUGALAGRANDE - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1973","1","NECOCLI - ANTIOQUIA","ANTIOQUIA",1,"0"
"1973","1","SAN FRANCISCO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1973","3","GUAPI - CAUCA","CAUCA",1,"0"
"1973","3","TURBO - ANTIOQUIA","ANTIOQUIA",3,"1"
"1973","5","CIMITARRA - SANTANDER","SANTANDER",1,"0"
"1973","7","UNGUIA - CHOCO","CHOCO",1,"0"
"1973","11","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1973","12","GUAPI - CAUCA","CAUCA",3,"1"
"1974","1","CAÑASGORDAS - ANTIOQUIA","ANTIOQUIA",1,"0"
"1974","1","REMEDIOS - ANTIOQUIA","ANTIOQUIA",3,"1"
"1974","3","SOACHA - CUNDINAMARCA","CUNDINAMARCA",2,"0"
"1974","4","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1974","4","CHIGORODO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1974","6","YACOPI - CUNDINAMARCA","CUNDINAMARCA",15,"1"
"1974","9","ARAUCA - ARAUCA","ARAUCA",1,"0"
"1974","10","PLATO - MAGDALENA","MAGDALENA",1,"0"
"1974","12","VALENCIA - CORDOBA","CORDOBA",1,"0"
"1975","1","AMALFI - ANTIOQUIA","ANTIOQUIA",2,"0"
"1975","1","CIMITARRA - SANTANDER","SANTANDER",2,"0"
"1975","1","PLANETA RICA - CORDOBA","CORDOBA",1,"0"
"1975","1","SAN PABLO - BOLIVAR","BOLIVAR",3,"1"
"1975","2","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",1,"0"
"1975","3","FLORIDA - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1975","3","PATIA - CAUCA","CAUCA",1,"0"
"1975","3","RIOHACHA - LA GUAJIRA","LA GUAJIRA",1,"0"
"1975","5","BARANOA - ATLANTICO","ATLANTICO",7,"1"
"1975","5","BOSCONIA - CESAR","CESAR",1,"0"
"1975","5","TUBARA - ATLANTICO","ATLANTICO",1,"0"
"1975","6","AGUSTIN CODAZZI - CESAR","CESAR",1,"0"
"1975","7","PUERTO BOYACA - BOYACA","BOYACA",3,"1"
"1975","8","APARTADO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1975","8","SAN PABLO - BOLIVAR","BOLIVAR",1,"0"
"1975","8","VILLAVICENCIO - META","META",1,"0"
"1975","11","BARRANCABERMEJA - SANTANDER","SANTANDER",1,"0"
"1976","1","APARTADO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1976","1","MANIZALES - CALDAS","CALDAS",1,"0"
"1976","1","SAN VICENTE FERRER - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","1","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","4","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1976","5","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1976","6","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1976","6","TARAZA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","7","BALBOA - CAUCA","CAUCA",1,"0"
"1976","7","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","9","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","9","VILLAVICENCIO - META","META",1,"0"
"1976","9","YOLOMBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","10","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1976","10","ZARZAL - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1976","11","BUCARAMANGA - SANTANDER","SANTANDER",1,"0"
"1976","12","CIMITARRA - SANTANDER","SANTANDER",1,"0"
"1977","1","TAME - ARAUCA","ARAUCA",1,"0"
"1977","1","TIMBIO - CAUCA","CAUCA",1,"0"
"1977","2","NECOCLI - ANTIOQUIA","ANTIOQUIA",1,"0"
"1977","2","TORIBIO - CAUCA","CAUCA",1,"0"
"1977","2","YACOPI - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1977","3","FREDONIA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1977","4","CIMITARRA - SANTANDER","SANTANDER",3,"1"
"1977","4","REMEDIOS - ANTIOQUIA","ANTIOQUIA",2,"0"
"1977","5","SILVANIA - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1977","5","TORIBIO - CAUCA","CAUCA",1,"0"
"1977","5","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1977","5","VITERBO - CALDAS","CALDAS",1,"0"
"1977","6","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",1,"0"
"1977","7","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1977","8","BOLIVAR - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1977","8","SAN MARCOS - SUCRE","SUCRE",1,"0"
"1977","9","BARRANQUILLA - ATLANTICO","ATLANTICO",1,"0"
"1977","9","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1977","10","NECOCLI - ANTIOQUIA","ANTIOQUIA",1,"0"
"1977","10","PASTO - NARIÑO","NARIÑO",1,"0"
"1977","12","VISTAHERMOSA - META","META",1,"0"
"1978","1","APARTADO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1978","1","CAREPA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","1","FLORENCIA - CAQUETA","CAQUETA",2,"0"
"1978","1","LA MONTAÑITA - CAQUETA","CAQUETA",1,"0"
"1978","1","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","1","MONTERIA - CORDOBA","CORDOBA",1,"0"
"1978","1","SEGOVIA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","1","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","1","VILLAVICENCIO - META","META",1,"0"
"1978","2","APARTADO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1978","3","FRONTINO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","3","PEREIRA - RISARALDA","RISARALDA",1,"0"
"1978","4","MONTERIA - CORDOBA","CORDOBA",1,"0"
"1978","4","YACOPI - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1978","5","APARTADO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","5","SAN GIL - SANTANDER","SANTANDER",1,"0"
"1978","5","SANTIAGO DE CALI - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1978","6","ABREGO - NORTE DE SANTANDER","NORTE DE SANTANDER",1,"0"
"1978","6","SAN CARLOS - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","8","NEIVA - HUILA","HUILA",1,"0"
"1978","8","TARAZA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","9","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1978","9","NEIVA - HUILA","HUILA",1,"0"
"1978","9","TIERRALTA - CORDOBA","CORDOBA",1,"0"
"1978","10","BARRANCABERMEJA - SANTANDER","SANTANDER",1,"0"
"1978","10","BELEN DE LOS ANDAQUIES - CAQUETA","CAQUETA",1,"0"
"1978","10","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",7,"1"
"1978","10","CARTAGO - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1978","10","URRAO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1978","10","YACOPI - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1978","11","CIMITARRA - SANTANDER","SANTANDER",1,"0"
"1978","11","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1978","11","PUERTO BOYACA - BOYACA","BOYACA",1,"0"
"1978","12","CIMITARRA - SANTANDER","SANTANDER",2,"0"
"1978","12","TORIBIO - CAUCA","CAUCA",1,"0"
"1979","0","CONCEPCION - SANTANDER","SANTANDER",1,"0"
"1979","0","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1979","0","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","0","PUERTO WILCHES - SANTANDER","SANTANDER",1,"0"
"1979","0","RIOSUCIO - CHOCO","CHOCO",1,"0"
"1979","1","BARRANCABERMEJA - SANTANDER","SANTANDER",1,"0"
"1979","1","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1979","1","CARTAGENA DE INDIAS - BOLIVAR","BOLIVAR",1,"0"
"1979","1","CARTAGENA DEL CHAIRA - CAQUETA","CAQUETA",5,"1"
"1979","1","FLORENCIA - CAQUETA","CAQUETA",2,"0"
"1979","1","JAMBALO - CAUCA","CAUCA",1,"0"
